날짜,검색횟수,옷종류
2018-11-04,70,니트/스웨터
2018-11-05,69,니트/스웨터
2018-11-06,62,니트/스웨터
2018-11-07,62,니트/스웨터
2018-11-08,58,니트/스웨터
2018-11-09,48,니트/스웨터
2018-11-10,53,니트/스웨터
2018-11-11,75,니트/스웨터
2018-11-12,68,니트/스웨터
2018-11-13,67,니트/스웨터
2018-11-14,62,니트/스웨터
2018-11-15,57,니트/스웨터
2018-11-16,50,니트/스웨터
2018-11-17,54,니트/스웨터
2018-11-18,74,니트/스웨터
2018-11-19,74,니트/스웨터
2018-11-20,71,니트/스웨터
2018-11-21,68,니트/스웨터
2018-11-22,64,니트/스웨터
2018-11-23,57,니트/스웨터
2018-11-24,60,니트/스웨터
2018-11-25,80,니트/스웨터
2018-11-26,74,니트/스웨터
2018-11-27,69,니트/스웨터
2018-11-28,65,니트/스웨터
2018-11-29,61,니트/스웨터
2018-11-30,52,니트/스웨터
2018-12-01,61,니트/스웨터
2018-12-02,81,니트/스웨터
2018-12-03,75,니트/스웨터
2018-12-04,74,니트/스웨터
2018-12-05,71,니트/스웨터
2018-12-06,64,니트/스웨터
2018-12-07,58,니트/스웨터
2018-12-08,63,니트/스웨터
2018-12-09,100,니트/스웨터
2018-12-10,97,니트/스웨터
2018-12-11,80,니트/스웨터
2018-12-12,74,니트/스웨터
2018-12-13,69,니트/스웨터
2018-12-14,56,니트/스웨터
2018-12-15,59,니트/스웨터
2018-12-16,86,니트/스웨터
2018-12-17,83,니트/스웨터
2018-12-18,76,니트/스웨터
2018-12-19,69,니트/스웨터
2018-12-20,58,니트/스웨터
2018-12-21,47,니트/스웨터
2018-12-22,49,니트/스웨터
2018-12-23,63,니트/스웨터
2018-12-24,51,니트/스웨터
2018-12-25,66,니트/스웨터
2018-12-26,62,니트/스웨터
2018-12-27,53,니트/스웨터
2018-12-28,47,니트/스웨터
2018-12-29,49,니트/스웨터
2018-12-30,59,니트/스웨터
2018-12-31,47,니트/스웨터
2019-01-01,56,니트/스웨터
2019-01-02,55,니트/스웨터
2019-01-03,49,니트/스웨터
2019-01-04,43,니트/스웨터
2019-01-05,46,니트/스웨터
2019-01-06,60,니트/스웨터
2019-01-07,55,니트/스웨터
2019-01-08,52,니트/스웨터
2019-01-09,51,니트/스웨터
2019-01-10,42,니트/스웨터
2019-01-11,33,니트/스웨터
2019-01-12,33,니트/스웨터
2019-01-13,44,니트/스웨터
2019-01-14,40,니트/스웨터
2019-01-15,37,니트/스웨터
2019-01-16,37,니트/스웨터
2019-01-17,36,니트/스웨터
2019-01-18,31,니트/스웨터
2019-01-19,32,니트/스웨터
2019-01-20,41,니트/스웨터
2019-01-21,40,니트/스웨터
2019-01-22,37,니트/스웨터
2019-01-23,34,니트/스웨터
2019-01-24,31,니트/스웨터
2019-01-25,27,니트/스웨터
2019-01-26,30,니트/스웨터
2019-01-27,40,니트/스웨터
2019-01-28,37,니트/스웨터
2019-01-29,32,니트/스웨터
2019-01-30,28,니트/스웨터
2019-01-31,24,니트/스웨터
2019-02-01,21,니트/스웨터
2019-02-02,23,니트/스웨터
2019-02-03,27,니트/스웨터
2019-02-04,26,니트/스웨터
2019-02-05,25,니트/스웨터
2019-02-06,31,니트/스웨터
2019-02-07,33,니트/스웨터
2019-02-08,28,니트/스웨터
2019-02-09,31,니트/스웨터
2019-02-10,39,니트/스웨터
2019-02-11,36,니트/스웨터
2019-02-12,32,니트/스웨터
2019-02-13,30,니트/스웨터
2019-02-14,26,니트/스웨터
2019-02-15,23,니트/스웨터
2019-02-16,26,니트/스웨터
2019-02-17,35,니트/스웨터
2019-02-18,32,니트/스웨터
2019-02-19,30,니트/스웨터
2019-02-20,28,니트/스웨터
2019-02-21,24,니트/스웨터
2019-02-22,21,니트/스웨터
2019-02-23,22,니트/스웨터
2019-02-24,29,니트/스웨터
2019-02-25,26,니트/스웨터
2019-02-26,23,니트/스웨터
2019-02-27,22,니트/스웨터
2019-02-28,18,니트/스웨터
2019-03-01,20,니트/스웨터
2019-03-02,21,니트/스웨터
2019-03-03,26,니트/스웨터
2019-03-04,22,니트/스웨터
2019-03-05,20,니트/스웨터
2019-03-06,18,니트/스웨터
2019-03-07,17,니트/스웨터
2019-03-08,15,니트/스웨터
2019-03-09,17,니트/스웨터
2019-03-10,24,니트/스웨터
2019-03-11,20,니트/스웨터
2019-03-12,18,니트/스웨터
2019-03-13,17,니트/스웨터
2019-03-14,15,니트/스웨터
2019-03-15,14,니트/스웨터
2019-03-16,16,니트/스웨터
2019-03-17,21,니트/스웨터
2019-03-18,19,니트/스웨터
2019-03-19,18,니트/스웨터
2019-03-20,17,니트/스웨터
2019-03-21,15,니트/스웨터
2019-03-22,12,니트/스웨터
2019-03-23,15,니트/스웨터
2019-03-24,18,니트/스웨터
2019-03-25,17,니트/스웨터
2019-03-26,15,니트/스웨터
2019-03-27,15,니트/스웨터
2019-03-28,12,니트/스웨터
2019-03-29,10,니트/스웨터
2019-03-30,12,니트/스웨터
2019-03-31,15,니트/스웨터
2019-04-01,15,니트/스웨터
2019-04-02,14,니트/스웨터
2019-04-03,13,니트/스웨터
2019-04-04,11,니트/스웨터
2019-04-05,9,니트/스웨터
2019-04-06,10,니트/스웨터
2019-04-07,14,니트/스웨터
2019-04-08,12,니트/스웨터
2019-04-09,12,니트/스웨터
2019-04-10,11,니트/스웨터
2019-04-11,10,니트/스웨터
2019-04-12,8,니트/스웨터
2019-04-13,9,니트/스웨터
2019-04-14,11,니트/스웨터
2019-04-15,10,니트/스웨터
2019-04-16,10,니트/스웨터
2019-04-17,9,니트/스웨터
2019-04-18,7,니트/스웨터
2019-04-19,6,니트/스웨터
2019-04-20,7,니트/스웨터
2019-04-21,8,니트/스웨터
2019-04-22,7,니트/스웨터
2019-04-23,6,니트/스웨터
2019-04-24,6,니트/스웨터
2019-04-25,5,니트/스웨터
2019-04-26,5,니트/스웨터
2019-04-27,5,니트/스웨터
2019-04-28,6,니트/스웨터
2019-04-29,6,니트/스웨터
2019-04-30,5,니트/스웨터
2019-05-01,6,니트/스웨터
2019-05-02,5,니트/스웨터
2019-05-03,4,니트/스웨터
2019-05-04,4,니트/스웨터
2019-05-05,5,니트/스웨터
2019-05-06,6,니트/스웨터
2019-05-07,5,니트/스웨터
2019-05-08,5,니트/스웨터
2019-05-09,5,니트/스웨터
2019-05-10,4,니트/스웨터
2019-05-11,4,니트/스웨터
2019-05-12,5,니트/스웨터
2019-05-13,5,니트/스웨터
2019-05-14,5,니트/스웨터
2019-05-15,5,니트/스웨터
2019-05-16,5,니트/스웨터
